data_index,prob_ham,prob_spam
22428,1.2861197838057864e-13,1.0
4971,1.3531874856198556e-06,0.9999986886978149
16377,2.0905648057123472e-07,0.9999997615814209
5097,1.3531874856198556e-06,0.9999986886978149
8325,1.0,7.619982661348501e-13
3573,0.9999998807907104,1.0728351895750166e-07
26514,6.819031841587275e-05,0.999931812286377
18155,1.2861197838057864e-13,1.0
27106,6.819031841587275e-05,0.999931812286377
9809,2.1606895828085726e-08,1.0
23731,0.9998776912689209,0.00012224027886986732
26446,6.819031841587275e-05,0.999931812286377
5066,1.3531874856198556e-06,0.9999986886978149
13420,0.9999985694885254,1.3848334674548823e-06
7393,1.0,1.5821854243425193e-11
14190,0.9999994039535522,6.334238946692494e-07
14138,0.9999996423721313,3.9744048763168394e-07
253,0.99489426612854,0.005105705000460148
13547,0.9998956918716431,0.00010433483112137765
11250,0.9998784065246582,0.00012163382780272514
5103,1.3531874856198556e-06,0.9999986886978149
60,0.9999998807907104,7.200917195859802e-08
12765,0.9999978542327881,2.107271711793146e-06
10651,2.1606895828085726e-08,1.0
8248,0.9840112328529358,0.01598876528441906
13705,0.9999915361404419,8.515755325788632e-06
4291,1.3532493312595761e-06,0.9999986886978149
11489,0.9999997615814209,1.923187653574132e-07
27563,6.819031841587275e-05,0.999931812286377
10927,2.1606895828085726e-08,1.0
3167,1.0,3.236036993925495e-10
20973,1.2861197838057864e-13,1.0
4725,1.3531874856198556e-06,0.9999986886978149
3225,0.997884213924408,0.0021157516166567802
28454,1.0,5.5091263446776714e-14
29642,2.941009370260872e-05,0.999970555305481
6593,1.0,2.125045582210272e-12
15181,2.0905648057123472e-07,0.9999997615814209
23228,0.9999998807907104,1.2744901312089496e-07
22136,1.2861197838057864e-13,1.0
19434,1.2861197838057864e-13,1.0
26390,6.819031841587275e-05,0.999931812286377
32860,2.941009370260872e-05,0.999970555305481
25497,6.819031841587275e-05,0.999931812286377
17620,6.042761291347176e-10,1.0
16395,2.0905648057123472e-07,0.9999997615814209
28148,0.9999991655349731,7.894401505836868e-07
129,1.0,7.38143574041672e-11
4677,1.3531874856198556e-06,0.9999986886978149
19176,1.2861197838057864e-13,1.0
22977,0.9999998807907104,9.909999221235921e-08
9432,0.9999998807907104,1.212310252185489e-07
20025,1.2861197838057864e-13,1.0
6057,0.14974883198738098,0.8502511978149414
16203,2.0905648057123472e-07,0.9999997615814209
29,0.9999831914901733,1.6831379980430938e-05
21078,1.2861197838057864e-13,1.0
27305,6.819031841587275e-05,0.999931812286377
32455,2.941009370260872e-05,0.999970555305481
25966,6.819031841587275e-05,0.999931812286377
28689,0.051100488752126694,0.9488995671272278
413,0.999954104423523,4.591335527948104e-05
921,0.9999992847442627,7.680526437070512e-07
4764,1.3531874856198556e-06,0.9999986886978149
3205,1.0,1.6229165233916376e-10
11705,0.4944154620170593,0.5055844783782959
27630,6.819031841587275e-05,0.999931812286377
11112,0.991835355758667,0.008164646103978157
11802,0.9996110796928406,0.0003889327635988593
16060,2.0905648057123472e-07,0.9999997615814209
8731,1.0,2.8749024560563224e-15
26792,6.819031841587275e-05,0.999931812286377
27519,6.819031841587275e-05,0.999931812286377
5858,0.9718492031097412,0.0281507670879364
5080,1.3531874856198556e-06,0.9999986886978149
15729,2.0905648057123472e-07,0.9999997615814209
8617,1.0,1.6195628822421315e-12
28357,0.9999310970306396,6.88972941134125e-05
26673,6.819031841587275e-05,0.999931812286377
5610,0.9999994039535522,6.514799224532908e-07
28421,1.0,2.0662794142367602e-08
26103,6.817783287260681e-05,0.999931812286377
6251,0.9962465167045593,0.00375352636910975
15974,2.0903415531847713e-07,0.9999997615814209
26299,6.819031841587275e-05,0.999931812286377
30539,2.941009370260872e-05,0.999970555305481
26270,6.819031841587275e-05,0.999931812286377
110,1.0,1.226571288981404e-09
17391,2.5907066714125904e-08,1.0
3405,0.34463635087013245,0.6553635597229004
23722,1.0,2.0740527351126303e-13
3421,0.9999970197677612,2.969868774016504e-06
14912,0.9997109770774841,0.000289006216917187
13616,1.0,2.521219677475983e-09
28073,0.3342277407646179,0.6657722592353821
5084,1.3531874856198556e-06,0.9999986886978149
31366,2.941009370260872e-05,0.999970555305481
7643,1.0,2.07187444978274e-09
15262,2.0905648057123472e-07,0.9999997615814209
5023,1.3531874856198556e-06,0.9999986886978149
29942,2.941009370260872e-05,0.999970555305481
17602,1.2482707916205982e-06,0.9999988079071045
6652,1.0,6.540539437333329e-18
2695,1.0,2.282494126430029e-13
7481,1.0,7.316596772888317e-10
17355,2.461621462224173e-10,1.0
18314,1.2861197838057864e-13,1.0
23971,1.0,4.600428482604002e-08
26966,6.819031841587275e-05,0.999931812286377
1914,1.0,5.197259511646735e-09
30888,2.941009370260872e-05,0.999970555305481
26242,6.819031841587275e-05,0.999931812286377
25638,6.819031841587275e-05,0.999931812286377
3383,1.0,4.7076720299799035e-09
1463,1.0,4.918548057730732e-08
18261,1.2861197838057864e-13,1.0
3734,1.3531874856198556e-06,0.9999986886978149
4058,1.3531874856198556e-06,0.9999986886978149
8144,0.9999991655349731,8.876726269591018e-07
30641,2.941009370260872e-05,0.999970555305481
7657,0.9999983310699463,1.6750217355365749e-06
26956,6.819031841587275e-05,0.999931812286377
22003,1.2861197838057864e-13,1.0
